fileName,Token
characterization-caseSeries.R,@schema
characterization-caseSeries.R,@c_table_prefixsettings
characterization-caseSeries.R,@schema
characterization-caseSeries.R,@database_meta_table
characterization-caseSeries.R,@schema
characterization-caseSeries.R,@c_table_prefixcohort_details
characterization-caseSeries.R,@target_id
characterization-caseSeries.R,@outcome_id
characterization-caseSeries.R,@schema
characterization-caseSeries.R,@cg_table_prefixcohort_definition
characterization-caseSeries.R,@schema
characterization-caseSeries.R,@cg_table_prefixcohort_definition
characterization-caseSeries.R,@schema
characterization-caseSeries.R,@c_table_prefixcovariates
characterization-caseSeries.R,@schema
characterization-caseSeries.R,@c_table_prefixcovariate_ref
characterization-caseSeries.R,@schema
characterization-caseSeries.R,@c_table_prefixsettings
characterization-caseSeries.R,@target_id
characterization-caseSeries.R,@outcome_id
characterization-caseSeries.R,@setting_id
characterization-caseSeries.R,@risk_window_start
characterization-caseSeries.R,@risk_window_end
characterization-caseSeries.R,@start_anchor
characterization-caseSeries.R,@end_anchor
characterization-caseSeries.R,@database_id
characterization-caseSeries.R,@schema
characterization-caseSeries.R,@c_table_prefixcovariates_continuous
characterization-caseSeries.R,@schema
characterization-caseSeries.R,@c_table_prefixcovariate_ref
characterization-caseSeries.R,@schema
characterization-caseSeries.R,@c_table_prefixsettings
characterization-caseSeries.R,@target_id
characterization-caseSeries.R,@outcome_id
characterization-caseSeries.R,@risk_window_start
characterization-caseSeries.R,@risk_window_end
characterization-caseSeries.R,@start_anchor
characterization-caseSeries.R,@end_anchor
characterization-caseSeries.R,@database_id
characterization-cohorts.R,@schema
characterization-cohorts.R,@c_table_prefixCOVARIATES
characterization-cohorts.R,@schema
characterization-cohorts.R,@c_table_prefixcovariate_ref
characterization-cohorts.R,@schema
characterization-cohorts.R,@c_table_prefixsettings
characterization-cohorts.R,@target_ids
characterization-cohorts.R,@database_ids
characterization-cohorts.R,@min_threshold
characterization-cohorts.R,@schema
characterization-cohorts.R,@c_table_prefixCOVARIATES_continuous
characterization-cohorts.R,@schema
characterization-cohorts.R,@c_table_prefixcovariate_ref
characterization-cohorts.R,@schema
characterization-cohorts.R,@c_table_prefixsettings
characterization-cohorts.R,@schema
characterization-cohorts.R,@database_meta_table
characterization-cohorts.R,@target_ids
characterization-cohorts.R,@database_ids
characterization-cohorts.R,@schema
characterization-cohorts.R,@database_table
characterization-cohorts.R,@schema
characterization-cohorts.R,@c_table_prefixcohort_details
characterization-cohorts.R,@target_id
characterization-dechallengeRechallenge.R,@schema
characterization-dechallengeRechallenge.R,@c_table_prefixDECHALLENGE_RECHALLENGE
characterization-dechallengeRechallenge.R,@schema
characterization-dechallengeRechallenge.R,@cg_table_prefixCOHORT_DEFINITION
characterization-dechallengeRechallenge.R,@schema
characterization-dechallengeRechallenge.R,@cg_table_prefixCOHORT_DEFINITION
characterization-dechallengeRechallenge.R,@schema
characterization-dechallengeRechallenge.R,@c_table_prefixDECHALLENGE_RECHALLENGE
characterization-dechallengeRechallenge.R,@schema
characterization-dechallengeRechallenge.R,@database_table
characterization-dechallengeRechallenge.R,@target_id
characterization-dechallengeRechallenge.R,@outcome_id
